Frame,UnityTime,StopwatchTime,TrialID,Event,Code
32208,539.9274,539.418802,79,TrialOn,1
32272,540.9949,540.486215,79,SampleOn,2
32301,541.478,540.969381,79,SampleOff,3
32336,542.0616,541.552922,79,DistractorOn,4
32365,542.5451,542.036438,79,DistractorOff,5
32490,544.6284,544.119709,79,TargetOn,6
32496,544.7281,544.219514,79,Choice,7
32590,546.2952,545.786515,80,TrialOn,1
32654,547.362,546.853335,80,SampleOn,2
32684,547.8621,547.353414,80,SampleOff,3
32719,548.4454,547.936773,80,DistractorOn,4
32748,548.9286,548.420012,80,DistractorOff,5
32873,551.0123,550.503586,80,TargetOn,6
32879,551.1122,550.603508,80,Choice,7
32973,552.6787,552.170073,81,TrialOn,1
33037,553.7458,553.237172,81,SampleOn,2
33066,554.2297,553.721022,81,SampleOff,3
33101,554.813,554.304389,81,DistractorOn,4
33130,555.2969,554.78828,81,DistractorOff,5
33255,557.3798,556.871143,81,TargetOn,6
33261,557.48,556.971363,81,Choice,7
33355,559.0463,558.537611,82,TrialOn,1
33419,560.1135,559.604797,82,SampleOn,2
33449,560.6139,560.105267,82,SampleOff,3
33484,561.1969,560.688252,82,DistractorOn,4
33514,561.6966,561.187926,82,DistractorOff,5
33639,563.7801,563.271423,82,TargetOn,6
33644,563.8635,563.354797,82,Choice,7
33738,565.4301,564.92138,83,TrialOn,1
33802,566.4971,565.98841,83,SampleOn,2
33831,566.9805,566.471791,83,SampleOff,3
33866,567.5639,567.055238,83,DistractorOn,4
33895,568.0471,567.538399,83,DistractorOff,5
34020,570.1308,569.622152,83,TargetOn,6
34026,570.2307,569.722021,83,Choice,7
34122,571.8307,571.322007,84,TrialOn,1
34187,572.9147,572.406009,84,SampleOn,2
34217,573.4144,572.905801,84,SampleOff,3
34253,574.0149,573.506256,84,DistractorOn,4
34283,574.5145,574.005893,84,DistractorOff,5
34409,576.6147,576.106108,84,TargetOn,6
34414,576.6983,576.189651,84,Choice,7
34508,578.2648,577.756146,85,TrialOn,1
34572,579.3317,578.823022,85,SampleOn,2
34601,579.8155,579.306846,85,SampleOff,3
34636,580.3986,579.889916,85,DistractorOn,4
34666,580.8987,580.390015,85,DistractorOff,5
34792,582.9988,582.490198,85,TargetOn,6
34797,583.0822,582.573534,85,Choice,7
34891,584.6487,584.139998,86,TrialOn,1
34955,585.7157,585.207058,86,SampleOn,2
34984,586.199,585.690341,86,SampleOff,3
35019,586.7826,586.273933,86,DistractorOn,4
35049,587.2826,586.773955,86,DistractorOff,5
35174,589.3662,588.85757,86,TargetOn,6
35180,589.466,588.957336,86,Choice,7
35274,591.0325,590.523861,87,TrialOn,1
35338,592.1,591.591335,87,SampleOn,2
